STT,SYS_DATETIME,NE_NAME,DEVICE_CODE,BEARER_MME_UTIL,BEARER_4G,CREATE_DEDICATED_BEARER_SR,CSFB_SR,DEDICATED_BEARER_MME,EASR,INTRA_TAU_SR,PGW_BEARER_SR,PGW_BEARER_UTIL,S1_INTRA_HANDOVER_SR,S1_PAGGING_SR,SAU_4G,SAU_UTIL_4G,SERVICE_REQUEST_SR,SGW_BEARER_SR,SG_LU_SR,SMS_PAGGING_SR,THROUGHPUT_4G,THROUGHPUT_UTIL,NO_PGW_IMS_BEARER,NO_PGW_IMS_SUBS,NO_PGW_SUBS,SYS_DATE,SYS_TIME
58149,2026-08-01 15:00:00,NE_000019,DEV_000019,,2119932.447688369,,,,,,99.66331754495009,46.37703011463374,,,,,,100.36073127309662,,,54847.25426068674,37.6314981174753,1247283.6694729722,934236.6783343415,1389441.290126601,2026-08-01,15:00:00
57561,2026-08-01 17:45:00,NE_000019,DEV_000019,,2004442.8870400588,,,,,,98.30984720501738,48.119949749977074,,,,,,101.55897442029392,,,58183.48451680224,38.769084417829326,1302126.8298570982,945881.8378958079,1297355.7939009645,2026-08-01,17:45:00
57512,2026-08-01 18:00:00,NE_000019,DEV_000019,,2056894.3305286362,,,,,,95.02727188676654,44.69071454038853,,,,,,103.1435728954098,,,58246.37323462876,40.51920990963546,1201658.525001506,956724.4572990254,1397652.773620744,2026-08-01,18:00:00
57418,2026-08-01 18:25:00,NE_000019,DEV_000019,,1963677.0975017983,,,,,,102.44982639449756,47.57475151905521,,,,,,101.30653329025954,,,62528.821692459926,40.38450336193666,1292040.9305073435,946711.0583778181,1314027.6505120934,2026-08-01,18:25:00
57315,2026-08-01 18:55:00,NE_000019,DEV_000019,,2027686.2137538204,,,,,,95.39733156758957,43.7623771242855,,,,,,95.55438322786584,,,60430.94191925238,42.34852242203431,1290396.2160922992,1018962.3673729138,1351060.427852474,2026-08-01,18:55:00
57294,2026-08-01 19:00:00,NE_000019,DEV_000019,,2150200.8170073633,,,,,,104.0288130781864,45.61330229409822,,,,,,99.17683400962936,,,62440.09129370845,42.21645768558628,1248094.7663843543,964050.8610161237,1392872.6524854042,2026-08-01,19:00:00
57180,2026-08-01 19:30:00,NE_000019,DEV_000019,,2149332.9287604443,,,,,,100.33092934920681,43.99714770733502,,,,,,102.76078337625916,,,61704.96984180619,43.5714523028936,1258347.6817457245,1021827.1618357269,1366807.7988032594,2026-08-01,19:30:00
57045,2026-08-01 20:10:00,NE_000019,DEV_000019,,2107524.7872143784,,,,,,102.77564780838283,45.03408446286273,,,,,,101.74652192788012,,,75644.65897963771,49.09654390367588,1201799.0891901234,974021.5655533621,1394251.4128580636,2026-08-01,20:10:00
56821,2026-08-01 21:10:00,NE_000019,DEV_000019,,2020390.8421428404,,,,,,104.09101194748514,45.57016659074983,,,,,,99.16582568106722,,,85201.48194699403,57.88767012636791,1199842.4557803173,987588.5196504892,1404347.3376080936,2026-08-01,21:10:00
56682,2026-08-01 21:50:00,NE_000019,DEV_000019,,2079792.6565428616,,,,,,97.5602552480871,47.08278334591201,,,,,,96.7059598844526,,,74827.76134088708,54.77199544765218,1244968.7868720742,922308.9203341549,1334766.5059476136,2026-08-01,21:50:00
56549,2026-08-01 22:25:00,NE_000019,DEV_000019,,2041495.152536484,,,,,,95.78416076104233,44.61478763571884,,,,,,103.58916987815485,,,71324.58430673386,48.99994240504035,1245322.3274217565,927256.4337078207,1339645.2723191683,2026-08-01,22:25:00
